 ,VENDOR EKSISTING,NAMA BARANG,CATEGORY,PRODUK,MERK,UKURAN,SATUAN ISI,KEBUTUHAN PER PEKAN,HARGA EKSISTING,NAMA VENDOR BARU,NEXT VENDOR,HARGA EXISTING,HARGA 20/8/2026,,,Pekan I Mei,,
,Diisi oleh OUTLET,Diisi oleh OUTLET,Diisi oleh OUTLET,,Diisi oleh OUTLET,,,Diisi oleh OUTLET,,Diisi oleh tim Pengadaan PUSAT,,,,QTY,TOTAL BIAYA,ER Edelweiss,ER Summarecon,ER Cianjur
173,,Plastik PE Merk Tomat 12 X 25,Kemasan,Sanusa Kitchen,Tomat,12x25,pack,5 botol/ 1minggu,Rp24.000,,,16.500,12.500,24,300.000,10,,
174,,Plastik PE Merk Tomat 15 x 30,Kemasan,Sanusa Kitchen,Tomat,15 x 30,pack,1 botol/ bulan,Rp65.000,,,16.800,16.800,,0,,,
175,,Prochiz Gold Cheddar 160gr,Kering,,,160 gr,,,Rp35.000,,,12.000,12.000,,0,2,1,
176,,Prochiz Gold Cheddar 2kg,Kering,ER Coffeelab,Prociz,2 kg,kg,,Rp40.000,Mandiri (dian),107.000,110.000,110.000,,0,,,
177,,Prochize Slice Premium 170gr,Kering,ER Coffeelab,Yan Jaya Food,,,,,Yan Jaya Food,,13.000,13.500,,,,,
178,,RAP Zeelandia (Fla instan),Kering,ER Coffeelab,,500 gr,botol,,,,,48.350,48.350,,,,,
179,,Red Velvet,Kemasan,ER Coffeelab,Denali,1kg,kg,,Rp166.500,House of Culinaire,700 ml,,,3,0,1,1,
180,,Redoxon,,ER Coffeelab,,,,,,,,65.000,65.000,,,,,
181,,Rinso Cair 700 ml,,,,700 ml,,,,,,16.500,16.500,,0,,,
182,,Rose Brand Fructose,Kemasan,ER Coffeelab,Rose brand,1 Kompan,kompan,,Rp166.500,Mandiri Pasbar (dian),,80.000,92.500,2,185.000,,,
183,,Rose Brand Maizena 500gr,Kering,ER Coffeelab,Rose brand,pack 500gr,,1 botol,Rp30.000,online,,,,6,0,,,
184,,Rosemary,Kering,ER Coffeelab,No merk(pasar),2 ikat,ikat,,Rp85.000,,,,60.000,,0,,,
185,,Royco Ayam,Kering,Sanusa Kitchen,Royco,,pcs,10 kg/minggu,Rp55.000,MANDIRI (DIAN),,39.900,39.000,,0,5,,
186,,Sabun colek Ekonomi,Kering,ER Coffeelab,Ekonomi,2 pack,pack,,Rp10.000,,,2.000,2.000,,0,,,
187,,Santan Kara 200ml,Kemasan,ER Coffeelab,Sun Kara,200ml(1dus),dus,,Rp24.000,MANDIRI (DIAN),,200.000,190.000,,0,,,
188,,Saos Bangkok Indofood,Kemasan,ER Coffeelab,Indofood,botol 335 ml,botol,,Rp8.000,,,17.500,17.500,,0,,,
